nombre_municipio,nombre_provincia,comunidad_autonoma,codigo_ine_municipio
Abla,Almería,Andalucía,04001
Abrucena,Almería,Andalucía,04002
Adra,Almería,Andalucía,04003
Albanchez,Almería,Andalucía,04004
Alboloduy,Almería,Andalucía,04005
Albox,Almería,Andalucía,04006
Alcolea,Almería,Andalucía,04007
Alcudia de Monteagud,Almería,Andalucía,04009
Alcóntar,Almería,Andalucía,04008
Alhabia,Almería,Andalucía,04010
Alhama de Almería,Almería,Andalucía,04011
Alicún,Almería,Andalucía,04012
Almería,Almería,Andalucía,04013
Almócita,Almería,Andalucía,04014
Alsodux,Almería,Andalucía,04015
Antas,Almería,Andalucía,04016
Arboleas,Almería,Andalucía,04017
Armuña de Almanzora,Almería,Andalucía,04018
Bacares,Almería,Andalucía,04019
Balanegra,Almería,Andalucía,04904
Bayarque,Almería,Andalucía,04021
Bayárcal,Almería,Andalucía,04020
Beires,Almería,Andalucía,04023
Benahadux,Almería,Andalucía,04024
Benitagla,Almería,Andalucía,04026
Benizalón,Almería,Andalucía,04027
Bentarique,Almería,Andalucía,04028
Berja,Almería,Andalucía,04029
Bédar,Almería,Andalucía,04022
Canjáyar,Almería,Andalucía,04030
Cantoria,Almería,Andalucía,04031
Carboneras,Almería,Andalucía,04032
Castro de Filabres,Almería,Andalucía,04033
Chercos,Almería,Andalucía,04036
Chirivel,Almería,Andalucía,04037
Cuevas del Almanzora,Almería,Andalucía,04035
Cóbdar,Almería,Andalucía,04034
Dalías,Almería,Andalucía,04038
El Ejido,Almería,Andalucía,04902
Enix,Almería,Andalucía,04041
Felix,Almería,Andalucía,04043
Fines,Almería,Andalucía,04044
Fiñana,Almería,Andalucía,04045
Fondón,Almería,Andalucía,04046
Garrucha,Almería,Andalucía,04049
Gádor,Almería,Andalucía,04047
Gérgal,Almería,Andalucía,04050
Huécija,Almería,Andalucía,04051
Huércal de Almería,Almería,Andalucía,04052
Huércal-Overa,Almería,Andalucía,04053
Instinción,Almería,Andalucía,04055
La Mojonera,Almería,Andalucía,04903
Laroya,Almería,Andalucía,04056
Las Tres Villas,Almería,Andalucía,04901
Laujar de Andarax,Almería,Andalucía,04057
Los Gallardos,Almería,Andalucía,04048
Lubrín,Almería,Andalucía,04059
Lucainena de las Torres,Almería,Andalucía,04060
Líjar,Almería,Andalucía,04058
Lúcar,Almería,Andalucía,04061
Macael,Almería,Andalucía,04062
María,Almería,Andalucía,04063
Mojácar,Almería,Andalucía,04064
Nacimiento,Almería,Andalucía,04065
Níjar,Almería,Andalucía,04066
Ohanes,Almería,Andalucía,04067
Olula de Castro,Almería,Andalucía,04068
Olula del Río,Almería,Andalucía,04069
Oria,Almería,Andalucía,04070
Padules,Almería,Andalucía,04071
Partaloa,Almería,Andalucía,04072
Paterna del Río,Almería,Andalucía,04073
Pechina,Almería,Andalucía,04074
Pulpí,Almería,Andalucía,04075
Purchena,Almería,Andalucía,04076
Rioja,Almería,Andalucía,04078
Roquetas de Mar,Almería,Andalucía,04079
Rágol,Almería,Andalucía,04077
Santa Cruz de Marchena,Almería,Andalucía,04080
Santa Fe de Mondújar,Almería,Andalucía,04081
Senés,Almería,Andalucía,04082
Serón,Almería,Andalucía,04083
Sierro,Almería,Andalucía,04084
Somontín,Almería,Andalucía,04085
Sorbas,Almería,Andalucía,04086
Suflí,Almería,Andalucía,04087
Tabernas,Almería,Andalucía,04088
Taberno,Almería,Andalucía,04089
Tahal,Almería,Andalucía,04090
Terque,Almería,Andalucía,04091
Turre,Almería,Andalucía,04093
Turrillas,Almería,Andalucía,04094
Tíjola,Almería,Andalucía,04092
Uleila del Campo,Almería,Andalucía,04095
Urrácal,Almería,Andalucía,04096
Velefique,Almería,Andalucía,04097
Vera,Almería,Andalucía,04100
Viator,Almería,Andalucía,04101
Vélez-Blanco,Almería,Andalucía,04098
Vélez-Rubio,Almería,Andalucía,04099
Vícar,Almería,Andalucía,04102
Zurgena,Almería,Andalucía,04103
Íllar,Almería,Andalucía,04054
Alcalá de los Gazules,Cádiz,Andalucía,11001
Alcalá del Valle,Cádiz,Andalucía,11002
Algar,Cádiz,Andalucía,11003
Algeciras,Cádiz,Andalucía,11004
Algodonales,Cádiz,Andalucía,11005
Arcos de la Frontera,Cádiz,Andalucía,11006
Barbate,Cádiz,Andalucía,11007
Benalup-Casas Viejas,Cádiz,Andalucía,11901
Benaocaz,Cádiz,Andalucía,11009
Bornos,Cádiz,Andalucía,11010
Castellar de la Frontera,Cádiz,Andalucía,11013
Chiclana de la Frontera,Cádiz,Andalucía,11015
Chipiona,Cádiz,Andalucía,11016
Conil de la Frontera,Cádiz,Andalucía,11014
Cádiz,Cádiz,Andalucía,11012
El Bosque,Cádiz,Andalucía,11011
El Gastor,Cádiz,Andalucía,11018
El Puerto de Santa María,Cádiz,Andalucía,11027
Espera,Cádiz,Andalucía,11017
Grazalema,Cádiz,Andalucía,11019
Jerez de la Frontera,Cádiz,Andalucía,11020
Jimena de la Frontera,Cádiz,Andalucía,11021
La Línea de la Concepción,Cádiz,Andalucía,11022
Los Barrios,Cádiz,Andalucía,11008
Medina Sidonia,Cádiz,Andalucía,11023
Olvera,Cádiz,Andalucía,11024
Paterna de Rivera,Cádiz,Andalucía,11025
Prado del Rey,Cádiz,Andalucía,11026
Puerto Real,Cádiz,Andalucía,11028
Puerto Serrano,Cádiz,Andalucía,11029
Rota,Cádiz,Andalucía,11030
San Fernando,Cádiz,Andalucía,11031
San José del Valle,Cádiz,Andalucía,11902
